2274	Malignant hyperthermia
2274	MH
2275	MH
2275	MH
2276	MH
2277	MH
2278	MH
2279	MH
2280	malignant hyperthermia
2281	malignant hyperthermia
2282	malignant hyperthermia
2282	MH
2283	MH
2284	MH
2284	MH
2284	MHS
2284	MHS
2285	MHS
2287	MHS
2287	MHS
2288	malignant hyperthermia
2289	Malignant hyperthermia
2289	MH
2290	malignant hyperthermia
2290	MHS
2291	MHS
2292	MHS
2293	MH
2293	MHS
2294	malignant hyperthermia
2294	MH
2296	MH
2299	MH
2300	MH
2300	MH
2300	caffeine
2302	MH
2303	malignant hyperthermia
2312	malignant hyperthermia
2313	Malignant hyperthermia
2313	MH
2314	malignant hyperthermia
2314	MHS
2315	MHS
2315	MHS
2316	MHS
2330	malignant hyperthermia
2330	MH
2331	MH
2334	malignant hyperthermia
2334	MH
2335	MH
2337	MH
2339	malignant hyperthermia
2372	malignant hyperthermia
2418	Malignant hyperthermia
2418	MH
2419	malignant hyperthermia
2419	MHS
2419	MHS
2421	caffeine
2423	MH
2425	MHS
2425	MHS
2426	MH
2428	caffeine
2431	malignant hyperthermia
2431	MH
2432	MH
2432	MHS
2432	caffeine
2433	MH
2434	MHS
2437	malignant hyperthermia
2449	caffeine
2452	malignant hyperthermia
2453	Malignant hyperthermia
2453	MH
2454	malignant hyperthermia
2454	MHS
2455	MHS
2456	MHS
2457	MHS
2458	MH
2458	MH
2484	malignant hyperthermia
2492	malignant hyperthermia
2493	Malignant hyperthermia
2493	MH
2494	MH
2494	MH
2496	MH
2497	caffeine
2498	MH
2498	caffeine
2499	caffeine
2499	MH
2551	caffeine
