33	40	disease	http://purl.obolibrary.org/obo/DOID_4
83	90	disease	http://purl.obolibrary.org/obo/DOID_4
15	22	disease	http://purl.obolibrary.org/obo/DOID_4
49	68	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
60	68	myopathy	http://purl.obolibrary.org/obo/DOID_423
95	102	disease	http://purl.obolibrary.org/obo/DOID_4
14	21	disease	http://purl.obolibrary.org/obo/DOID_4
51	58	disease	http://purl.obolibrary.org/obo/DOID_4
103	112	scoliosis	http://purl.obolibrary.org/obo/DOID_0060249
190	209	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
201	209	myopathy	http://purl.obolibrary.org/obo/DOID_423
210	230	central core disease	http://purl.obolibrary.org/obo/DOID_3529
223	230	disease	http://purl.obolibrary.org/obo/DOID_4
78	98	central core disease	http://purl.obolibrary.org/obo/DOID_3529
91	98	disease	http://purl.obolibrary.org/obo/DOID_4
74	94	central core disease	http://purl.obolibrary.org/obo/DOID_3529
87	94	disease	http://purl.obolibrary.org/obo/DOID_4
186	193	disease	http://purl.obolibrary.org/obo/DOID_4
107	114	disease	http://purl.obolibrary.org/obo/DOID_4
161	168	disease	http://purl.obolibrary.org/obo/DOID_4
83	105	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
55	74	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
66	74	myopathy	http://purl.obolibrary.org/obo/DOID_423
13	20	disease	http://purl.obolibrary.org/obo/DOID_4
32	51	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
43	51	myopathy	http://purl.obolibrary.org/obo/DOID_423
86	105	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
97	105	myopathy	http://purl.obolibrary.org/obo/DOID_423
23	42	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
34	42	myopathy	http://purl.obolibrary.org/obo/DOID_423
158	166	myopathy	http://purl.obolibrary.org/obo/DOID_423
220	228	myopathy	http://purl.obolibrary.org/obo/DOID_423
59	81	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
88	96	syndrome	http://purl.obolibrary.org/obo/DOID_225
44	66	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
139	161	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
31	51	central core disease	http://purl.obolibrary.org/obo/DOID_3529
44	51	disease	http://purl.obolibrary.org/obo/DOID_4
13	20	disease	http://purl.obolibrary.org/obo/DOID_4
25	42	nemaline myopathy	http://purl.obolibrary.org/obo/DOID_3191
34	42	myopathy	http://purl.obolibrary.org/obo/DOID_423
13	20	disease	http://purl.obolibrary.org/obo/DOID_4
75	95	central core disease	http://purl.obolibrary.org/obo/DOID_3529
88	95	disease	http://purl.obolibrary.org/obo/DOID_4
100	117	nemaline myopathy	http://purl.obolibrary.org/obo/DOID_3191
109	117	myopathy	http://purl.obolibrary.org/obo/DOID_423
128	135	disease	http://purl.obolibrary.org/obo/DOID_4
120	140	central core disease	http://purl.obolibrary.org/obo/DOID_3529
133	140	disease	http://purl.obolibrary.org/obo/DOID_4
153	160	disease	http://purl.obolibrary.org/obo/DOID_4
69	89	central core disease	http://purl.obolibrary.org/obo/DOID_3529
82	89	disease	http://purl.obolibrary.org/obo/DOID_4
115	123	syndrome	http://purl.obolibrary.org/obo/DOID_225
7	15	syndrome	http://purl.obolibrary.org/obo/DOID_225
142	160	mental retardation	http://purl.obolibrary.org/obo/DOID_1059
19	27	syndrome	http://purl.obolibrary.org/obo/DOID_225
136	144	syndrome	http://purl.obolibrary.org/obo/DOID_225
168	176	syndrome	http://purl.obolibrary.org/obo/DOID_225
52	60	syndrome	http://purl.obolibrary.org/obo/DOID_225
4	11	disease	http://purl.obolibrary.org/obo/DOID_4
77	97	central core disease	http://purl.obolibrary.org/obo/DOID_3529
90	97	disease	http://purl.obolibrary.org/obo/DOID_4
106	128	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
109	116	disease	http://purl.obolibrary.org/obo/DOID_4
117	136	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
128	136	myopathy	http://purl.obolibrary.org/obo/DOID_423
142	157	ophthalmoplegia	http://purl.obolibrary.org/obo/DOID_539
132	154	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
156	176	central core disease	http://purl.obolibrary.org/obo/DOID_3529
169	176	disease	http://purl.obolibrary.org/obo/DOID_4
217	224	disease	http://purl.obolibrary.org/obo/DOID_4
87	102	ophthalmoplegia	http://purl.obolibrary.org/obo/DOID_539
72	94	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
52	74	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
23	43	central core disease	http://purl.obolibrary.org/obo/DOID_3529
36	43	disease	http://purl.obolibrary.org/obo/DOID_4
84	104	central core disease	http://purl.obolibrary.org/obo/DOID_3529
97	104	disease	http://purl.obolibrary.org/obo/DOID_4
148	156	syndrome	http://purl.obolibrary.org/obo/DOID_225
119	127	syndrome	http://purl.obolibrary.org/obo/DOID_225
132	154	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
239	261	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
106	128	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
67	89	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
124	177	catecholaminergic polymorphic ventricular tachycardia	http://purl.obolibrary.org/obo/DOID_0060674
216	223	disease	http://purl.obolibrary.org/obo/DOID_4
78	86	syndrome	http://purl.obolibrary.org/obo/DOID_225
116	169	catecholaminergic polymorphic ventricular tachycardia	http://purl.obolibrary.org/obo/DOID_0060674
13	20	disease	http://purl.obolibrary.org/obo/DOID_4
53	72	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
64	72	myopathy	http://purl.obolibrary.org/obo/DOID_423
84	106	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
51	70	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
62	70	myopathy	http://purl.obolibrary.org/obo/DOID_423
177	186	scoliosis	http://purl.obolibrary.org/obo/DOID_0060249
171	179	myopathy	http://purl.obolibrary.org/obo/DOID_423
13	20	disease	http://purl.obolibrary.org/obo/DOID_4
70	92	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
164	171	disease	http://purl.obolibrary.org/obo/DOID_4
88	95	disease	http://purl.obolibrary.org/obo/DOID_4
14	21	disease	http://purl.obolibrary.org/obo/DOID_4
49	71	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
21	41	central core disease	http://purl.obolibrary.org/obo/DOID_3529
34	41	disease	http://purl.obolibrary.org/obo/DOID_4
