"org_id","org_acc","org_source","ref_id","ref_acc","ref_source"
"15377","CHEBI:15377","chebi","A0A7R7EMP0_9FIRM","A0A7R7EMP0","uniprot"
"15377","CHEBI:15377","chebi","A0A4R6RBE4_9HYPH","A0A4R6RBE4","uniprot"
"15377","CHEBI:15377","chebi","A0AAE5XC34_9BACT","A0AAE5XC34","uniprot"
"15377","CHEBI:15377","chebi","A0A9Q7A4J9_9BACT","A0A9Q7A4J9","uniprot"
"15377","CHEBI:15377","chebi","A0ABM6V9Z6_9ACTN","A0ABM6V9Z6","uniprot"
"15377","CHEBI:15377","chebi","A0A1H4EQT3_9FLAO","A0A1H4EQT3","uniprot"
"15377","CHEBI:15377","chebi","A0A1H4FRC2_9FLAO","A0A1H4FRC2","uniprot"
"15377","CHEBI:15377","chebi","A0A7W5AKY9_9ACTN","A0A7W5AKY9","uniprot"
"15377","CHEBI:15377","chebi","A0A7R7ELT8_9FIRM","A0A7R7ELT8","uniprot"
"15377","CHEBI:15377","chebi","B1ZQK6_OPITP","B1ZQK6","uniprot"
"15377","CHEBI:15377","chebi","A0A1V9EY24_9BACT","A0A1V9EY24","uniprot"
"15377","CHEBI:15377","chebi","Q3J9Y1_NITOC","Q3J9Y1","uniprot"
"15377","CHEBI:15377","chebi","A0ABW4E5J2_9LACO","A0ABW4E5J2","uniprot"
"15377","CHEBI:15377","chebi","A0A1H0W7E4_9CLOT","A0A1H0W7E4","uniprot"
"15377","CHEBI:15377","chebi","A0A0H2MDJ0_VARPD","A0A0H2MDJ0","uniprot"
"15377","CHEBI:15377","chebi","Q037P6_LACP3","Q037P6","uniprot"
"15377","CHEBI:15377","chebi","A0A109JR23_9BRAD","A0A109JR23","uniprot"
"15377","CHEBI:15377","chebi","A0A511QAA3_9VIBR","A0A511QAA3","uniprot"
"15377","CHEBI:15377","chebi","A0A0D1JQ03_9LACO","A0A0D1JQ03","uniprot"
"15377","CHEBI:15377","chebi","A0ABS8F4D2_9FIRM","A0ABS8F4D2","uniprot"
"15377","CHEBI:15377","chebi","A0A1G5R5B1_9RHOB","A0A1G5R5B1","uniprot"
"15377","CHEBI:15377","chebi","A0A7X1B9C6_9BACT","A0A7X1B9C6","uniprot"
"15377","CHEBI:15377","chebi","A0A074M5J0_ERYLO","A0A074M5J0","uniprot"
"15377","CHEBI:15377","chebi","A0ABP5FXJ9_9MICC","A0ABP5FXJ9","uniprot"
"15377","CHEBI:15377","chebi","A0ABS9CB61_9FLAO","A0ABS9CB61","uniprot"
"15377","CHEBI:15377","chebi","A0A841KV73_9FIRM","A0A841KV73","uniprot"
"15377","CHEBI:15377","chebi","A0A7X6BMH1_9BACT","A0A7X6BMH1","uniprot"
"15377","CHEBI:15377","chebi","A0A7R7EJM0_9FIRM","A0A7R7EJM0","uniprot"
"15377","CHEBI:15377","chebi","A0A4Q0PBS4_9FLAO","A0A4Q0PBS4","uniprot"
"15377","CHEBI:15377","chebi","A0A1B1NNC6_9VIBR","A0A1B1NNC6","uniprot"
"15377","CHEBI:15377","chebi","A0A261GAG4_9BIFI","A0A261GAG4","uniprot"
"15377","CHEBI:15377","chebi","A0A1G8YW08_9MICO","A0A1G8YW08","uniprot"
"15377","CHEBI:15377","chebi","A0A0T9LIE9_YERIN","A0A0T9LIE9","uniprot"
"15377","CHEBI:15377","chebi","A0A2N7VNK6_9BURK","A0A2N7VNK6","uniprot"
"15377","CHEBI:15377","chebi","A0A086A9X6_9FLAO","A0A086A9X6","uniprot"
