"org_id","org_acc","org_source","ref_id","ref_acc","ref_source"
"15379","CHEBI:15379","chebi","A0ABQ1NF75_9ENTE","A0ABQ1NF75","uniprot"
"15379","CHEBI:15379","chebi","A0A397PF88_9HYPH","A0A397PF88","uniprot"
"15379","CHEBI:15379","chebi","A0A1C5AWL9_9ACTN","A0A1C5AWL9","uniprot"
"15379","CHEBI:15379","chebi","A0A1G1T7D3_9BACT","A0A1G1T7D3","uniprot"
"15379","CHEBI:15379","chebi","A0ABX0NDV7_9BURK","A0ABX0NDV7","uniprot"
"15379","CHEBI:15379","chebi","A0A6N7LL33_SINTE","A0A6N7LL33","uniprot"
"15379","CHEBI:15379","chebi","A0ABU9T7L7_9HYPH","A0ABU9T7L7","uniprot"
"15379","CHEBI:15379","chebi","A0ABW8A641_9ACTN","A0ABW8A641","uniprot"
"15379","CHEBI:15379","chebi","A0A418MRY3_9ACTN","A0A418MRY3","uniprot"
"15379","CHEBI:15379","chebi","A0A7I7JS75_9MYCO","A0A7I7JS75","uniprot"
"15379","CHEBI:15379","chebi","A0A3R8RIT6_9ACTN","A0A3R8RIT6","uniprot"
"15379","CHEBI:15379","chebi","A0A8X8KN50_9RHOB","A0A8X8KN50","uniprot"
"15379","CHEBI:15379","chebi","A0A149Q0V8_9BURK","A0A149Q0V8","uniprot"
"15379","CHEBI:15379","chebi","A0ABV9D1K3_9GAMM","A0ABV9D1K3","uniprot"
"15379","CHEBI:15379","chebi","A0A069E888_9PROT","A0A069E888","uniprot"
"15379","CHEBI:15379","chebi","H3SD14_9BACL","H3SD14","uniprot"
"15379","CHEBI:15379","chebi","A0A1M5EAV8_9FLAO","A0A1M5EAV8","uniprot"
"15379","CHEBI:15379","chebi","A0A426RVX0_9ACTN","A0A426RVX0","uniprot"
"15379","CHEBI:15379","chebi","A0A941F8T7_9BACT","A0A941F8T7","uniprot"
"15379","CHEBI:15379","chebi","A0AA37X466_9RHOB","A0AA37X466","uniprot"
"15379","CHEBI:15379","chebi","A0ABR8SKV6_9BACL","A0ABR8SKV6","uniprot"
"15379","CHEBI:15379","chebi","A0ABN1QUR0_9ACTN","A0ABN1QUR0","uniprot"
"15379","CHEBI:15379","chebi","A0ABN2DT51_9ACTN","A0ABN2DT51","uniprot"
"15379","CHEBI:15379","chebi","A0A7W5GCA7_9BACL","A0A7W5GCA7","uniprot"
"15379","CHEBI:15379","chebi","A0ABQ0WAW6_9SPHI","A0ABQ0WAW6","uniprot"
"15379","CHEBI:15379","chebi","A0A0B8NAE7_9NOCA","A0A0B8NAE7","uniprot"
"15379","CHEBI:15379","chebi","A0AAX1JDW1_9MYCO","A0AAX1JDW1","uniprot"
"15379","CHEBI:15379","chebi","A0ABW7S6N5_STRTE","A0ABW7S6N5","uniprot"
"15379","CHEBI:15379","chebi","A0A2M9YKK8_9LEPT","A0A2M9YKK8","uniprot"
"15379","CHEBI:15379","chebi","A0A073J142_9RHOB","A0A073J142","uniprot"
"15379","CHEBI:15379","chebi","A0A6I4U5V2_9SPHN","A0A6I4U5V2","uniprot"
"15379","CHEBI:15379","chebi","A0A6G6WA01_9ACTN","A0A6G6WA01","uniprot"
"15379","CHEBI:15379","chebi","A0A7W5CFJ3_9BACL","A0A7W5CFJ3","uniprot"
"15379","CHEBI:15379","chebi","A0A844YC32_9SPHN","A0A844YC32","uniprot"
"15379","CHEBI:15379","chebi","A0ABT8T1Q4_9HYPH","A0ABT8T1Q4","uniprot"
